Rk,Player,Age,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,GG,AS,SS,MVP,Position
78,Rafael Devers,27,3.7,138,601,525,87,143,34,5,28,83,3,0,67,147,0.272,0.354,0.516,0.871,140,0.368,134,271,13,3,0,6,14,0,1,0,13.0,5.0
79,Oneil Cruz,25,2.5,146,599,541,72,140,34,3,21,76,22,1,51,181,0.259,0.324,0.449,0.773,114,0.34,110,243,8,3,0,4,5,0,0,0,,6.0
80,Alec Burleson,25,1.2,152,595,547,71,147,20,0,21,78,9,4,35,76,0.269,0.314,0.42,0.735,105,0.325,105,230,8,4,1,6,0,0,0,0,,9.0
81,Carlos Santana,38,2.5,150,594,521,63,124,26,0,23,71,4,0,65,99,0.238,0.328,0.42,0.749,108,0.329,108,219,11,6,0,2,3,1,0,0,,3.0
82,Jackson Merrill,21,4.4,156,593,554,77,162,31,6,24,90,16,3,29,101,0.292,0.326,0.5,0.826,128,0.357,126,277,2,1,4,5,1,0,1,1,9.0,8.0
83,Dansby Swanson,30,3.9,149,593,534,82,129,27,2,16,66,19,3,54,144,0.242,0.312,0.39,0.701,97,0.313,96,208,7,2,0,3,2,0,0,0,,6.0
84,Josh Smith,26,3.2,149,592,523,67,135,30,1,13,62,11,2,46,121,0.258,0.337,0.394,0.731,111,0.329,112,206,6,18,2,3,1,0,0,1,,5.0
85,Seiya Suzuki,29,3.5,132,585,512,74,145,27,6,21,73,16,6,63,160,0.283,0.366,0.482,0.848,137,0.364,136,247,6,6,0,4,3,0,0,0,,9.0
86,Riley Greene,23,5.4,137,584,512,82,134,27,6,24,74,4,2,64,156,0.262,0.348,0.479,0.827,133,0.358,133,245,2,5,0,2,3,0,1,0,,7.0
87,Ketel Marte,30,6.8,136,583,504,93,147,23,2,36,95,7,1,65,106,0.292,0.372,0.56,0.932,155,0.396,155,282,9,5,0,9,7,0,1,1,3.0,4.0
88,Jake Burger,28,0.5,137,579,535,68,134,23,1,29,76,1,1,31,150,0.25,0.301,0.46,0.76,104,0.327,100,246,11,9,0,4,2,0,0,0,,3.0
89,Jorge Soler,32,1.1,142,574,493,84,119,34,1,21,64,1,0,68,141,0.241,0.338,0.442,0.78,121,0.343,123,218,9,6,0,4,0,0,0,0,,9.0
90,Jackson Chourio,20,3.8,148,573,528,80,145,29,4,21,79,22,7,39,121,0.275,0.327,0.464,0.791,118,0.344,115,245,7,3,1,2,4,0,0,0,22.0,7.0
91,Ceddanne Rafaela,23,2.8,152,571,544,70,134,23,5,15,75,19,10,15,151,0.246,0.274,0.39,0.664,83,0.299,85,212,8,7,2,3,1,0,0,0,,8.0
92,Bryson Stott,26,2.5,148,571,506,65,124,19,2,11,57,32,3,53,93,0.245,0.315,0.356,0.671,88,0.309,87,180,9,3,0,9,1,0,0,0,,4.0
93,Cody Bellinger,28,2.2,130,569,516,72,137,23,3,18,78,9,2,45,89,0.266,0.325,0.426,0.751,110,0.326,108,220,10,3,0,5,7,0,0,0,,9.0
94,Michael Busch,26,2.8,152,567,496,73,123,28,2,21,65,2,1,63,162,0.248,0.335,0.44,0.775,117,0.338,118,218,9,4,0,4,1,0,0,0,,3.0
95,Matt Vierling,27,3.0,144,567,518,80,133,28,5,16,57,6,1,41,121,0.257,0.312,0.423,0.735,107,0.323,106,219,9,3,0,5,1,0,0,0,,8.0
96,Nathaniel Lowe,28,2.7,140,565,486,62,129,16,1,16,69,2,0,71,125,0.265,0.361,0.401,0.762,121,0.342,122,195,9,4,0,4,1,0,0,0,,3.0
97,Colton Cowser,24,3.1,153,561,499,77,121,24,3,24,69,9,4,52,172,0.242,0.321,0.447,0.768,122,0.329,119,223,9,7,0,3,2,0,0,0,,7.0
98,Wyatt Langford,22,3.9,134,557,499,74,126,25,4,16,74,19,3,51,115,0.253,0.325,0.415,0.74,112,0.329,110,207,6,4,0,3,3,0,0,0,,7.0
99,Colt Keith,22,1.1,148,556,516,54,134,15,4,13,61,7,1,36,110,0.26,0.309,0.38,0.689,96,0.308,95,196,4,2,0,2,2,0,0,0,,4.0
100,Vinnie Pasquantino,26,1.1,131,554,496,64,130,30,2,19,97,1,0,40,71,0.262,0.315,0.446,0.76,112,0.328,108,221,12,4,1,13,1,0,0,0,,3.0
101,Lourdes Gurriel Jr.,30,2.0,133,553,513,72,143,22,2,18,75,7,1,29,101,0.279,0.322,0.435,0.757,109,0.329,106,223,16,6,0,5,1,0,0,0,,7.0
102,Christian Walker,33,2.6,130,552,479,72,120,26,0,26,84,2,2,55,133,0.251,0.335,0.468,0.803,121,0.34,116,224,12,10,0,8,4,1,0,0,,3.0
103,Zack Gelof,24,1.4,138,547,497,60,105,20,2,17,49,25,3,38,188,0.211,0.27,0.362,0.632,82,0.286,80,180,7,4,3,5,0,0,0,0,,4.0
104,Will Smith,29,3.5,128,544,476,77,118,24,2,20,75,1,1,51,105,0.248,0.327,0.433,0.76,116,0.327,112,206,8,9,0,8,6,0,1,0,,2.0
105,Steven Kwan,26,4.0,122,540,480,83,140,16,3,14,44,12,5,53,51,0.292,0.368,0.425,0.793,127,0.352,128,204,5,5,2,0,0,1,1,0,,7.0
106,Brendan Rodgers,27,1.1,135,539,501,67,134,29,1,13,54,1,0,31,132,0.267,0.314,0.407,0.721,93,0.317,92,204,12,4,1,2,1,0,0,0,,4.0
107,Trea Turner,31,3.0,121,539,505,88,149,25,0,21,62,19,4,27,98,0.295,0.338,0.469,0.807,123,0.358,127,237,10,6,0,1,0,0,1,0,,6.0
108,Justin Turner,39,1.5,139,539,460,59,119,24,0,11,55,0,2,59,95,0.259,0.354,0.383,0.737,114,0.328,116,176,16,13,0,7,2,0,0,0,,3.0
109,Jesus Sanchez,26,0.7,149,537,489,60,123,25,1,18,64,16,2,41,140,0.252,0.313,0.417,0.731,98,0.326,96,204,12,4,1,2,2,0,0,0,,9.0
